hey	Hi!
nama agi patut ditemu aku pasal jaku penambah?	enti nuan ka nemu, jaku iban tulin bisi siti aja penambah ujung leka jaku iya nya penambah -ka.
ajar aku pasal atur nulis penambah.	nyadi penambah tu ditulis sekali enggau leka jaku ti nguna penambah nya.
terangka pasal atur nulis penambah.	bisi, antara bengkah jaku penambah iya nya penambah jaku betandu sebut enggau penambah ujung leka jaku
nama bengkah jaku penambah ti bisi?	antara chunto jaku penambah iya nya -be- ti dikena ba belagu.
bengkah bagi jaku penambah?	be ti dikena ba urat jaku besai nya chunto penambah jaku betandu sebut.
padahka bagi jaku penambah ti bisi.	enti nuan enda nemu, jaku iban tulin bisi siti aja penambah ujung leka jaku iya nya penambah 'ka'.
beri bengkah ti bisi dalam jaku penambah.	chunto jaku ngena penambah ujung jaku 'ka' iya nya belalaika.
terangka pasal penambah pun jaku.	penambah b- dikena ba dalam pun jaku.
nama penambah ti dikena dalam penambah pun jaku?	be- nya antara penambah pun jaku.
beri penambah ti dikena dalam penambah pun jaku?	antara penambah pun jaku iya nya di-, em- enggau en-
baka ni gaya penambah pun jaku?	ke- enggau m- nya antara penambah pun jaku
penambah pun jaku nya baka ni?	n- dikena dalam penambah pun jaku.
nama chunto jaku penambah pun jaku?	chunto jaku ti ngena penambah pun jaku -b iya nya -bumai.
bisi chunto bagi jaku penambah pun jaku?	chunto jaku ngena penambah pun jaku iya nya -belajar.
nama chunto ti bisi bagi jaku penambah pun jaku?	-belajar, -belatur, -belinsur
beri siti chunto jaku penambah pun jaku.	antara chunto jaku ti ngena penambah pun jaku iya nya belajar.
chunto bagi jaku penambah pun jaku?	-belatur nya antara chunto jaku ti ngena penambah pun jaku -be.
nama chunto bukai jaku penambah pun jaku?	chunto jaku bukai ti ngena penambah pun jaku -b iya nya -bulih.
bisi chunto bukai bagi jaku penambah pun jaku?	chunto bukai jaku ngena penambah pun jaku iya nya -berakit.
nama chunto ti bukai bagi jaku penambah pun jaku?	-berakit, -belagu, -bepantun
beri siti chunto bukai jaku penambah pun jaku.	antara chunto jaku bukai ti ngena penambah pun jaku iya nya bepantun.
chunto bukai bagi jaku penambah pun jaku?	-belagu nya antara chunto jaku bukai ti ngena penambah pun jaku -be.
baka ni jalai nulis jaku penambah pun jaku ba ayat?	chunto rambai jaku iya nya -iya bumai ba emperan bukit nyin.-
nama chunto rambai jaku ti ngena jaku penambah pun jaku?	-sida beduruk pangan diri lebuh bumai-.
chunto ayat ti ngena jaku penambah pun jaku?	chunto ayat iya nya -indai ngasuh ika belajar bebendar-.
beri chunto ayat ngena jaku penambah pun jaku.	ayat bagi penambah pun jaku iya nya -chara kesatu nya salah-.
chunto ayat?	-indai meli sayur ba pasar-.
bisi chunto ayat ngena jaku penambah pun jaku ke bukai?	chunto bukai iya nya -iya bulih mayuh ikan maya nyala tadi-.
bisi chunto jaku penambah pun jaku ke bukai?	chunto ti bukai iya nya -bala nembiak nya berakit ke seberai sungai-.
ulih nuan meri aku chunto kedua rambai jaku ti nguna atur jaku penambah pun jaku?	ayat ti bukai iya nya -iya rindu bendar belagu-.
chunto jaku penambah pun jaku ti bukai?	-niang aki aku suba landik bepantun-.
padah chunto jaku penambah pun jaku ke bukai?	rambai jaku ti bukai iya nya -iya malu duduk berimbai enggau aku-.
terangka pasal penambah ujung jaku.	penambah -ka dikena ba dalam ujung jaku.
nama penambah ti dikena dalam penambah ujung jaku?	b..ka nya antara penambah ujung jaku.
beri penambah ti dikena dalam penambah ujung jaku?	antara penambah ujung jaku iya nya bel..ka, ber..ka enggau bes..ka
baka ni gaya penambah ujung jaku?	en..ka enggau em..ka nya antara penambah ujung jaku
penambah ujung jaku nya baka ni?	ng..ka dikena dalam penambah ujung jaku.
nama chunto jaku penambah ujung jaku?	chunto jaku ti ngena penambah ujung jaku -ka iya nya -gariska.
bisi chunto bagi jaku penambah ujung jaku?	chunto jaku ngena penambah ujung jaku iya nya -baumka.
nama chunto ti bisi bagi jaku penambah ujung jaku?	-gariska, -baumka, -belajarka
beri siti chunto jaku penambah ujung jaku.	antara chunto jaku ti ngena penambah ujung jaku iya nya belajarka.
chunto bagi jaku penambah ujung jaku?	-berantika nya antara chunto jaku ti ngena penambah ujung jaku -ber..ka
nama chunto bukai jaku penambah ujung jaku?	chunto jaku bukai ti ngena penambah ujung jaku -ka iya nya -tinggalka.
bisi chunto bukai bagi jaku penambah ujung jaku?	chunto bukai jaku ngena penambah ujung jaku iya nya -nyabakka.
nama chunto ti bukai bagi jaku penambah ujung jaku?	-tinggalka, -nyabakka, -beratika.
beri siti chunto bukai jaku penambah ujung jaku.	antara chunto jaku bukai ti ngena penambah ujung jaku iya nya beratika.
chunto bukai bagi jaku penambah ujung jaku?	-berandauka nya antara chunto jaku bukai ti ngena penambah ujung jaku -be..ka.
baka ni jalai nulis jaku penambah ujung jaku ba ayat?	chunto rambai jaku iya nya -gariska saut ti betul.-
nama chunto rambai jaku ti ngena jaku penambah ujung jaku?	-sida belaya lebuh baumka bala sida ti deka nguai-.
chunto ayat ti ngena jaku penambah ujung jaku?	chunto ayat iya nya -iya pedih pala belajarka sains komputer-.
beri chunto ayat ngena jaku penambah ujung jaku.	ayat bagi penambah ujung jaku iya nya -iya sinu kediri beratika orang gila nya-.
chunto ayat?	-aku lelak berantika barang pos laju datai-.
bisi chunto ayat ngena jaku penambah ujung jaku ke bukai?	chunto bukai iya nya -tinggalka barang ti enda diguna ngambi perau enda sarat-.
bisi chunto jaku penambah ujung jaku ke bukai?	chunto ti bukai iya nya -mata iya kembai nyabakka buku iya lenyau-.
ulih nuan meri aku chunto kedua rambai jaku ti nguna atur jaku penambah ujung jaku?	ayat ti bukai iya nya -aku beratika nuan ari tadi-.
chunto jaku penambah ujung jaku ti bukai?	-sida iya berandauka kebun sawit-.
padah chunto jaku penambah ujung jaku ke bukai?	rambai jaku ti bukai iya nya -iya enda meretika utai ti dipadahka nuan-.
terangka pasal penambah betandu sebut.	penambah -be dikena ba dalam betandu sebut.
nama penambah ti dikena dalam penambah betandu sebut?	che- nya antara penambah betandu sebut.
beri penambah ti dikena dalam penambah betandu sebut?	antara penambah betandu sebut iya nya be- enggau che-
baka ni gaya penambah betandu sebut?	de- enggau ge- nya antara penambah betandu sebut
penambah betandu sebut nya baka ni?	je- dikena dalam penambah betandu sebut.
nama chunto jaku penambah betandu sebut?	chunto jaku ti ngena penambah betandu sebut -be iya nya -bebendar.
bisi chunto bagi jaku penambah betandu sebut?	chunto jaku ngena penambah betandu sebut iya nya -bebesai.
nama chunto ti bisi bagi jaku penambah betandu sebut?	-bebendar, -bebesai, -bebaru
beri siti chunto jaku penambah betandu sebut.	antara chunto jaku ti ngena penambah betandu sebut iya nya chechamang.
chunto bagi jaku penambah betandu sebut?	-dedigak nya antara chunto jaku ti ngena penambah betandu sebut -de
nama chunto bukai jaku penambah betandu sebut?	chunto jaku bukai ti ngena penambah betandu sebut -be iya nya -bebichai.
bisi chunto bukai bagi jaku penambah betandu sebut?	chunto bukai jaku ngena penambah betandu sebut iya nya -lelese.
nama chunto ti bukai bagi jaku penambah betandu sebut?	-bebichai, -lelese, -lelingai.
beri siti chunto bukai jaku penambah betandu sebut.	antara chunto jaku bukai ti ngena penambah betandu sebut iya nya nenegu.
chunto bukai bagi jaku penambah betandu sebut?	-pepeli nya antara chunto jaku bukai ti ngena penambah betandu sebut -pe
baka ni jalai nulis jaku penambah betandu sebut ba ayat?	chunto rambai jaku iya nya -iya nyabak bebendar laban tusah ati.-
nama chunto rambai jaku ti ngena jaku penambah betandu sebut?	-ikan ulih aki nyala tadi bebesai-.
chunto ayat ti ngena jaku penambah betandu sebut?	chunto ayat iya nya -gari ti ba dalam lemari nya bebaru-.
beri chunto ayat ngena jaku penambah betandu sebut.	ayat bagi penambah betandu sebut iya nya -iya enda chechamang nikauka ular nya-.
chunto ayat ti ngena jaku penambah betandu sebut?	-duku nya dedigak ba pun kayu nya-.
bisi chunto ayat ngena jaku penambah betandu sebut ke bukai?	chunto bukai iya nya -darah jari iya bebichai laban enda dibalut-.
bisi chunto jaku penambah betandu sebut ke bukai?	chunto ti bukai iya nya -bale dianu indai laban iya lelese lebuh ditanya-.
ulih nuan meri aku chunto kedua rambai jaku ti nguna atur jaku penambah betandu sebut?	ayat ti bukai iya nya -aku lelingai lebuh bejalai tadi laban lapar-.
chunto jaku penambah betandu sebut ti bukai?	-anang nenegu mangkuk nya.-.
padah chunto jaku penambah betandu sebut ke bukai?	rambai jaku ti bukai iya nya -mata iya pepeli meda gajah.-.
nuan nemu reti jaku 'lebas'?	reti 'lebas' iya nya leka jaku ti udah tegap dikena baka siku, siti enggau sigi.
padahka reti jaku -lebas'.	lebas nya jaku ti udah tegap baka leka jaku -siti, -siku enggau -sigi
aku ka nemu pasal homonim.	nemu, homonim nya leka jaku ti sebaka sepil sereta sebaka sebut tang enda sebaka reti.
baka ni ngna atur homonim?	homonim nya ngembuan leka jaku ti sebaka sebut tang lain reti.
kati baka atur ngena homonim deh?	oh, homonim enda sebaka enggau homograf laban iya leka jaku ngembuan chara sebut ti sebaka.
terangka pasal homonim.	leka jaku ti sebaka sepil enggau sebut tang ngembuan lain reti.
kati baka atur ngena homonim?	siti jaku ti ngembuan lain reti taja sebaka sepil enggau chara sebut.
ajar pasal homonim.	jaku homonim ngembuan reti ti lain taja sebaka chara sebut enggau sepil.
padahka pasal homonim.	homonim nya jaku ti ngembuan sebaka sepil enggau chara sebut tang lain reti.
nama chunto bagi homonim?	leka jaku homonim ti ditemu aku iya nya 'kala'.
padahka chunto bagi homonim.	bisi dua iti chunto rambai jaku ti nguna homonim 'kala'.
chunto homonim?	antara chunto leka jaku homonim iya nya 'kala'
chunto bagi homonim?	leka jaku homonim ti ditemu aku iya nya 'buruk'.
beri chunto homonim.	bisi dua iti chunto rambai jaku ti nguna homonim 'buruk'.
meri aku chunto homonim.	antara chunto leka jaku homonim iya nya 'buruk'
nama chunto homonim?	leka jaku homonim ti ditemu aku iya nya 'mulung'.
meri aku siti chunto homonim.	bisi dua iti chunto rambai jaku ti nguna homonim 'mulung'.
beri siti chunto bagi homonim.	antara chunto leka jaku homonim iya nya 'mulung'
padahka siti chunto bagi homonim.	antara leka jaku homonim iya nya -kala, -mulung enggau buruk.
nama reti keterubah mulung?	utai ti tumbuh.
nama reti kesatu mulung?	reti mulung keterubah iya nya siti utai tumbuh.
nama chunto ayat ti ngena reti kesatu mulung?	-umang mulung buah mawang ba belakang rumah.
chunto ayat ti ngena reti keterubah mulung?	-aki mulung buah rian ba kebun.
nama reti kedua mulung?	reti kedua iya nya ngumpul buah.
nama reti bukai mulung?	reti mulung ti kedua iya nya pengawa ngumpul buah.
nama chunto ayat ti ngena reti kedua mulung?	-aki nebang pun mulung nya lemai legi.
chunto ayat ti ngena reti mulung ti kedua	-aki nebang pun mulung nya lemai legi.
nama reti keterubah buruk?	reti kesatu buruk iya nya ngelusu.
nama reti kesatu buruk?	reti keterubah buruk iya nya ulah ti ngelusu.
nama chunto ayat ti ngena reti kesatu buruk?	-impek dianu indai iya laban buruk ngereja pengawa rumah.
chunto ayat ti ngena reti keterubah buruk?	-orang ti buruk ngereja pengawa sigi enda mujur.
nama reti kedua buruk?	reti kedua buruk iya nya utai ti udah jai.
nama reti bukai buruk?	reti buruk ti kedua iya nya utai ti udah jai.
nama chunto ayat ti ngena reti kedua buruk?	-pun lada nya tumbang laban udah buruk.
chunto ayat ti ngena reti buruk ti kedua?	-tiang rumah nya buruk diempa merung.
nama reti keterubah kala?	reti kesatu kala iya nya besangkut paut enggau maya tauka lebuh.
nama reti kesatu kala?	reti keterubah kala iya nya madahka maya tauka lebuh.
nama chunto ayat ti ngena reti kesatu kala?	rambai jaku ti keterubah nya nya ambai kala nemuai ngagai rumah aku.
chunto ayat ti ngena reti keterubah kala?	rambai jaku ti keterubah nya nya ambai kala nemuai ngagai rumah aku.
nama reti kedua kala?	rambai jaku ti keterubah nya nya ambai kala nemuai ngagai rumah aku.
nama reti kala ke bukai?	reti bukai kala iya sebansa unggas ti nyenggat.
nama chunto ayat ti ngena reti kedua kala?	-kami sebilik begau laban meda kala ba ruang bilik.
chunto ayat ti ngena reti kala ti kedua?	-kala nya bejalai tisi pasu bungai.
nama utai homograf nya?	homograf nya baka sinonim ba Bahasa Melayu.
nama reti homograf?	homograf nya ka sebaka enggau sinonim ti dikena dalam Bahasa Melayu.
homograf?	homograf nya leka jaku ti sebaka sepil sereta sebaka sebut tang enda sebaka reti.
padahka pasal homograf.	homograf nya leka jaku ti bisi sebaka sepil, lain chara nyebut lalu enda sebaka reti.
terangka homograf.	au, homograf nya ka sebaka enggau sinonim ti dikena dalam Bahasa Melayu.
baka ni gaya homograf nya?	homograf nya lain ari homonim.
ajar pasal homograf.	homograf nya jaku ti ngembuan sebaka sepil tang enda sebaka sebut.
homograf nya nama?	jaku ti ngembuan sebaka sepil tang enda sebaka chara sebut nya homograf.
nama chunto bagi homograf?	nyadi chunto bagi leka jaku homograf iya nya -asi.
padahka chunto pasal homograf.	siti chunto homograf iya nya leka jaku -asi.
beri aku siti chunto bagi homograf.	leka jaku -asi nya antara chunto homograf.
baka ni chunto homograf.	chunto homograf iya nya -asi.
chunto homograf?	-peti nya leka jaku homograf.
homograf nya baka ni chunto iya?	chunto leka jaku bagi homograf iya nya -peti.
meri aku siti chunto homograf.	siti chunto leka jaku homograf iya nya -peti.
siti chunto bagi homograf?	-asi enggau -peti.
bisi chunto homograf ti bukai?	nyadi chunto bukai bagi leka jaku homograf iya nya -emparu.
chunto bukai bagi homograf?	siti chunto bukai homograf iya nya leka jaku -emparu.
padahka aku chunto homograf ti bukai.	leka jaku -emparu nya antara chunto bukai homograf.
beri chunto homograf ti bukai.	chunto bukai homograf iya nya -emparu.
baka ni chunto homograf ti bukai?	-mata nya leka jaku homograf.
chunto leka jaku homograf ti bukai?	chunto bukai leka jaku bagi homograf iya nya -mata.
nama chunto bukai bagi homograf?	siti chunto bukai leka jaku homograf iya nya -mata.
chunto jaku bukai homograf?	-asi enggau -mata.
nama reti -asi ti keterubah?	reti keterubah -asi iya nya beras ti udah ditanak.
ulih nuan madah nama reti -asi ti kesatu?	reti kesatu -asi nya bekaul enggau utai diempa.
nama reti kedua -asi?	reti kedua -asi nya madahka orang ti diandai.
reti kedua -asi?	reti bukai -asi iya nya orang ti disayau.
chunto ayat bagi reti -asi kesatu?	chunto ayat ti ngena reti kesatu asi iya nya -asi nya udah bari.-
nama chunto ayat bagi -asi ti ngena reti kesatu?	-iya lapar laban nadai ngemai asi ke bekal.-
beri chunto ayat ngena reti -asi ti keterubah.	-indai ngasuh igat nanak asi.-
padahka chunto ayat ti ngena reti -asi kesatu.	rambai jaku ti ngena reti keterubah asi iya nya -asi nya udah mansau.-
chunto ayat bagi reti -asi kedua?	-kumang anak asi apai indai iya.-
nama chunto ayat bagi -asi ti ngena reti kedua?	chunto ayat iya nya -jambi nya uchu asi aki ini iya-
beri chunto ayat ngena reti -asi ti bukai.	-aku anak asi apai enggau indai aku.-
padahka chunto ayat ti ngena reti -asi kedua.	-iya nyabak laban anak asi iya sekula jauh-
nama reti -mata ti keterubah?	reti kesatu mata iya nya bekaul enggau perengka tubuh ti dikena meda.
ulih nuan madah nama reti mata ti kesatu?	perengka tubuh ti dikena meda nya reti kesatu mata.
nama reti kedua -mata?	reti kedua mata iya nya utai ti dipanduk enda mansau.
reti kedua -mata?	utai ti enda mansau nya reti kedua mata.
chunto ayat bagi reti -mata kesatu?	-mata iya makin hari makin rabun-
nama chunto ayat bagi -mata ti ngena reti kesatu?	-mata iya nyu kembai dibai nyabak sehari-hari-
beri chunto ayat ngena reti -mata ti keterubah.	-mata iya melut lebuh tekenyit meda ular-
padahka chunto ayat ti ngena reti -mata kesatu.	-iya ngusuk mata iya laban gatal-
chunto ayat bagi reti -mata kedua?	-buah rian nya agi mata-
nama chunto ayat bagi -mata ti ngena reti kedua?	-manuk guring ti dibeli igat nya mata.-
beri chunto ayat ngena reti -mata ti bukai.	-buah rampu tau diempa mata-
padahka chunto ayat ti ngena reti -mata kedua.	-ikan kukus nya mata-
nama reti -peti ti keterubah?	reti kesatu peti iya nya alai endur nyimpan perengka.
ulih nuan madah nama reti peti ti kesatu?	reti keterubah peti iya nya endur besimpanka barang.
nama reti kedua -peti?	reti kedua peti iya nya panjuk dikena nangkap jelu.
reti kedua -peti?	reti bukai peti iya nya panjuk ti dikena ngulihka jelu babas.
chunto ayat bagi reti -peti kesatu?	-jarum nya disimpan di dalam peti-
nama chunto ayat bagi -peti ti ngena reti kesatu?	-ini ngiga tinchin iya ti disimpan di dalam peti-
beri chunto ayat ngena reti -peti ti keterubah.	-peti nya tau endur nyimpan perengka emas.-
padahka chunto ayat ti ngena reti -peti kesatu.	-peti nya enda ulih dibuka laban bekunchi-
chunto ayat bagi reti -peti kedua?	-jani nya diulih ngena peti-
nama chunto ayat bagi -peti ti ngena reti kedua?	-kaki aki telih laban tekena peti-
beri chunto ayat ngena reti -peti ti bukai.	-igat landik ngaga peti-
padahka chunto ayat ti ngena reti -peti kedua.	-peti nya dilalaika semak babas ngambi jelu enda meda.
nama reti -emparu ti keterubah?	reti kesatu emparu iya nya mela jelu.
ulih nuan madah nama reti emparu ti kesatu?	pengawa mela jelu nya reti keterubah emparu.
nama reti kedua -emparu?	reti kedua emparu iya nya sebansa ular.
reti kedua -emparu?	sebansa ular nya reti kedua emparu.
chunto ayat bagi reti -emparu kesatu?	-kami emparu jani nya ari mit.-
nama chunto ayat bagi -emparu ti ngena reti kesatu?	-manuk emparu ini lenyau dichuri orang.-
beri chunto ayat ngena reti -emparu ti keterubah.	-niang aki rindu emparu kambing-
padahka chunto ayat ti ngena reti -emparu kesatu.	-aki landik bendar dalam pengawa emparu jani.-
chunto ayat bagi reti -emparu kedua?	-iya tekenyit lebuh tetemuka emparu baruh tangga-
nama chunto ayat bagi -emparu ti ngena reti kedua?	-aki munuh emparu nya ngena duku-
beri chunto ayat ngena reti -emparu ti bukai.	-kaki iya telih dipantuk emparu.-
padahka chunto ayat ti ngena reti -emparu kedua.	-emparu selalu belalai belah babas-
ulih nuan nerangka pasal raban jaku iban?	raban jaku bisi empat iti bagi.
terangka pasal raban jaku iban.	raban jaku dibagi nitih ka penuduk sida dalam rambai jaku.
ajar pasal raban jaku iban.	raban jaku tebagi ngagai empat bengkah.
terangka pasal raban jaku iban.	bengkah ti keterubah iya nya jaku nama.
padahka pasal raban jaku iban.	raban jaku dibagi nitih ka penuduk sida dalam ayat.
ajar aku pasal raban jaku iban.	kriteris sintaksis dikena dalam magi leka jaku ngagai siti-siti raban.
nama utai raban jaku iban nya?	seleka jaku tau masuk ngagai lebih ari siti raban.
raban jaku iban?	raban jaku tu bisi empat iti bagi.
raban jaku iban nya baka ni?	raban jaku bisi empat bengkah.
nama raban jaku iban nya?	chara magi raban jaku iya nya nitihka penuduk iya di dalam ayat.
nama bengkah ti bisi dalam raban jaku?	enti dibagi ngena chara kasar, raban jaku tebagi ngagai jaku nama, jaku pengawa, jaku adjektif enggau jaku tugas.
nama bengkah bagi raban jaku?	empat bengkah raban jaku iya nya jaku nama, jaku pengawa, jaku adjektif, jaku tugas.
raban jaku tebagi ngagai bengkah nama?	jaku pengawa, jaku nama, jaku adjektif enggau jaku tugas.
raban jaku nya bisi tebagi ngagai siti-siti bengkah?	bengkah bagi raban jaku iya nya jaku nama, jaku pengawa, jaku tugas enggau jaku adjektif.
padahka aku pasal bengkah raban jaku.	antara bengkah raban jaku bisi jaku nama, jaku adjektif, jaku pengawa enggau jaku tugas.
ajar pasal bengkah raban jaku.	jaku nama, jaku tugas, jaku adjektif enggau jaku tugas nya antara bengkah raban jaku.
bengkah dalam raban jaku nya bisi nama?	antara bagi raban jaku nyengkaum jaku tugas, jaku adjektif, jaku nama enggau jaku pengawa.
padahka pasal bengkah raban jaku iban.	bengkah raban jaku ti bisi iya nya jaku tugas, jaku adjektif, jaku pengawa enggau jaku nama.
bengkah raban jaku iban nya baka ni?	bagi raban jaku iya nya jaku tugas, jaku pengawa, jaku adjektif enggau jaku nama.
nama antara bengkah raban jaku iban ti bisi?	raban jaku tebagi ngagai jaku pengawa, jaku adjektif, jaku tugas enggau jaku nama.
terangka pasal raban jaku nama.	jaku nama dikena nyebut nama mensia, jelu, indu utai, endur, barang enggau ti bukai.
baka ni raban jaku nama nya?	dikena nyebut nama mensia, jelu, indu utai, barang, endur enggau ti bukai.
raban jaku nama nya baka ni?	nama mensia, jelu, indu utai, barang tauka endur disebut ngena jaku nama.
ajar pasal raban jaku nama.	jaku nama nya pugu ke rambai jaku nama.
padahka pasal raban jaku nama.	dalam rambai jaku nama, jaku nama nya nyadika pugu.
raban jaku nama?	jaku nama bisi tebagi ngagai tiga bengkah.
raban jaku nama nya baka ni?	jaku nama bisi tiga bengkah.
nama bengkah ti bisi dalam raban jaku nama?	bengkah jaku nama ti bisi iya nya jaku nama tetap, jaku nama rama enggau jaku ganti nama.
raban jaku nama tebagi ngagai nama bengkah?	jaku nama tetap, jaku nama rama enggau jaku ganti nama.
padahka bengkah ti bisi dalam jaku nama.	jaku nama rama, jaku ganti nama enggau jaku nama tetap nya antara bengkah jaku nama.
ajar pasal bengkah dalam raban jaku nama.	jaku nama tebagi ngagai jaku nama tetap, jaku nama rama enggau jaku ganti nama.
bengkah dalam raban jaku nama?	bagi jaku nama nya iya jaku nama rama, jaku nama tetap enggau jaku ganti nama.
baka ni enggau bengkah ti bisi dalam raban jaku nama?	jaku ganti nama, jaku nama tetap enggau jaku nama rama nya antara bagi jaku nama.
terangka bengkah dalam raban jaku nama.	jaku nama nyengkaum jaku ganti nama, jaku nama tetap enggau jaku nama rama.
terangka pasal raban jaku pengawa.	jaku pengawa bisi dua bengkah.
baka ni raban jaku pengawa nya?	jaku pengawa tebagi ngagai dua bengkah.
raban jaku pengawa nya baka ni?	jaku pengawa bisi dua bagi.
ajar pasal raban jaku pengawa.	jaku pengawa tu leka jaku ti nyadi pugu ba rambai jaku pengawa.
